1787773677 2.33 4.02 4.95 1/4499 27883 | === RUN 4 ===
1787773682 2.23 3.97 4.93 3/4509 27899 | === RUN 4 ===
1787773687 2.13 3.92 4.91 2/4513 27915 | === RUN 4 ===
1787773692 2.04 3.88 4.89 1/4547 27931 | === RUN 4 ===
1787773697 1.87 3.81 4.86 1/4558 27947 | === RUN 4 ===
1787773702 1.88 3.78 4.85 2/4540 27963 | === RUN 4 ===
1787773707 1.73 3.72 4.82 2/4559 27979 | === RUN 4 ===
1787773712 1.67 3.67 4.80 1/4565 27995 | === RUN 4 ===
1787773717 1.70 3.64 4.79 3/4617 28011 | === RUN 4 ===
1787773722 1.64 3.60 4.77 3/4606 28027 | === RUN 4 ===
1787773727 1.51 3.54 4.74 1/4597 28043 | === RUN 4 ===
1787773732 1.55 3.52 4.72 3/4560 28059 | === RUN 4 ===
1787773737 1.59 3.49 4.71 5/4600 28075 | === RUN 4 ===
1787773742 1.62 3.46 4.70 2/4625 28091 | === RUN 4 ===
1787773747 1.73 3.46 4.69 1/4691 28107 | === RUN 4 ===
1787773752 1.83 3.45 4.68 3/4724 28123 | === RUN 4 ===
1787773757 1.69 3.39 4.65 3/4851 28139 | === RUN 4 ===
1787773762 1.63 3.35 4.63 2/4871 28155 | === RUN 4 ===
1787773767 1.58 3.31 4.61 3/4935 28171 | === RUN 4 ===
1787773772 1.61 3.29 4.60 13/4213 28245 | === RUN 5 ===
1787773777 1.56 3.25 4.58 2/4126 28261 | === RUN 5 ===
1787773782 1.52 3.21 4.56 5/4186 28277 | === RUN 5 ===
1787773787 1.48 3.18 4.54 2/4216 28293 | === RUN 5 ===
1787773792 1.76 3.21 4.54 1/4184 28309 | === RUN 5 ===
1787773797 1.70 3.17 4.52 2/4220 28325 | === RUN 5 ===
1787773802 1.64 3.13 4.50 5/4236 28341 | === RUN 5 ===
1787773807 1.51 3.08 4.48 2/4228 28357 | === RUN 5 ===
1787773812 1.47 3.05 4.46 2/4239 28373 | === RUN 5 ===
1787773817 1.59 3.05 4.45 6/4274 28389 | === RUN 5 ===
1787773822 1.54 3.01 4.43 3/4234 28405 | === RUN 5 ===
1787773827 1.50 2.98 4.41 3/4239 28421 | === RUN 5 ===
1787773832 1.54 2.96 4.40 2/4241 28437 | === RUN 5 ===
1787773837 1.50 2.93 4.38 1/4273 28453 | === RUN 5 ===
1787773842 1.62 2.93 4.38 3/4273 28469 | === RUN 5 ===
1787773847 1.81 2.95 4.37 3/4315 28485 | === RUN 5 ===
1787773852 1.90 2.95 4.37 3/4290 28501 | === RUN 5 ===
