"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","TestSendKeysUnknownKeyNameIsDeliveredAsLiteralTextWithExitZero","","Sat Sep 26 09:46:16 BST 2026","passed","Sat Sep 26 09:46:16 BST 2026","","github.com/n-orlov/deck/internal/tmux","github.com/n-orlov/deck/internal/tmux",""
"","1592","profile switch dialog -- the mouse can neither cancel nor confirm it, at its border, its body or outside it","","","passed","","","The §11.4 dialog contract, asserted per dialog (requirements 7, 8, 9, 10, 11, 50)","",""
"","50","TestMoveSessionGroupThroughPickerChangesOnlyThatOneRow","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestArchivePurgeAndRefusalMessagesStayWithinFrameBudgetAtEveryLayoutMode/Cannot_archive:_session_is_already_archived/stacked","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","10","TestSettingsSaveReordersGroupsLivePreservingSelection","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestFieldFullKey","","Sat Sep 26 09:45:29 BST 2026","passed","Sat Sep 26 09:45:29 BST 2026","","github.com/n-orlov/deck/internal/config","github.com/n-orlov/deck/internal/config",""
"","834","/ filters the list down to the one row whose cwd matches","","","passed","","","The / list filter: by name, group and cwd, and the route back to an archived row (I-10, task 123; re-aimed off workspace by task 015/R129 part 4)","",""
"","70","TestKillReapSweepAndNameReuseReapNeverRunPostDestroy/Reap","","Sat Sep 26 09:45:57 BST 2026","passed","Sat Sep 26 09:45:57 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
"","0","TestFooterHandlerAgreementAcrossEveryRowClass/non-empty_mark_set:_selected_row_differs_from_the_marked_row/↵","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","1711","a truncating row's background rectangle stays unbroken with the R119 gutter in its own columns, at the sidebar's minimum width","","","passed","","","A selected/striped sidebar row's background fills a real rectangle, and the seam stays clear (requirement 58, task 323)","",""
"","0","TestSettingsFieldValueDisplayPerKind/list-of-strings_generic_default","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestDetailFooterNamesTheHeaderCursorFoldKeys/unicode","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestRenameStyledBodyMatchesPlainBodyOnceStripped","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestUndoToastStaysWithinFrameBudgetAtEveryLayoutMode","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","70","TestDeleteKillsLivePaneAndTombstonesPreservingCWDAndConversation","","Sat Sep 26 09:45:57 BST 2026","passed","Sat Sep 26 09:45:57 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
