"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3089","two claude sessions in one cwd keep separate conversation ids","","","passed","","","Distinct conversation ids in one working directory","",""
"","60","TestCycledThenAbandonedCreateModalDoesNotPersistLastCreateAgent","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","2400","TestFeatures/A_pane-fired_hook_cannot_revive_a_process-crash_terminal_row","","Fri Sep 25 23:33:19 BST 2026","passed","Fri Sep 25 23:33:21 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
"","0","TestSelectedTextAcrossRowsIsLinearNotRectangular","","Fri Sep 25 23:31:58 BST 2026","passed","Fri Sep 25 23:31:58 BST 2026","","github.com/n-orlov/deck/internal/interactive","github.com/n-orlov/deck/internal/interactive",""
"","2300","TestFeatures/Real_fake-agent_panes_render_the_complete_probe_golden_corpus","","Fri Sep 25 23:33:19 BST 2026","passed","Fri Sep 25 23:33:21 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
"","70","TestPickCreateAgentDegradesToDefaultOnMissingUnregisteredValue","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestConfigFileStaleAfter/seconds","","Fri Sep 25 23:31:45 BST 2026","passed","Fri Sep 25 23:31:45 BST 2026","","github.com/n-orlov/deck/internal/config","github.com/n-orlov/deck/internal/config",""
"","60","TestReceiveHookAppliesOverAnyStaleSourceExceptStopped/SessionStart/from_waiting/via_probe","","Fri Sep 25 23:31:45 BST 2026","passed","Fri Sep 25 23:31:45 BST 2026","","github.com/n-orlov/deck/internal/hookrecv","github.com/n-orlov/deck/internal/hookrecv",""
"","0","TestCreateModalShellSubmitPassesPreLaunchThrough","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestSidebarEntryContentWidthMatchesEachModesRealTextBudget","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","1880","TestFeatures/r_resumes_the_selected_stopped_row_and_passive_preview_re-fits_away_from_tmux's_unfit_80x24_default","","Fri Sep 25 23:33:19 BST 2026","passed","Fri Sep 25 23:33:20 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
