1787794088 5.43 4.20 3.68 11/4321 89467 | === RUN 3 ===
1787794093 5.16 4.17 3.67 5/4318 89477 | === RUN 3 ===
1787794098 5.47 4.25 3.70 7/4318 89487 | === RUN 3 ===
1787794103 5.19 4.21 3.69 4/4359 89497 | === RUN 3 ===
1787794108 4.85 4.15 3.68 5/4348 89507 | === RUN 3 ===
1787794113 4.62 4.12 3.67 5/4334 89517 | === RUN 3 ===
1787794118 4.41 4.08 3.66 5/4339 89527 | === RUN 3 ===
1787794123 4.22 4.05 3.65 3/4344 89537 | === RUN 3 ===
1787794128 4.12 4.03 3.64 4/4371 89547 | === RUN 3 ===
1787794133 4.83 4.18 3.69 3/4408 89557 | === RUN 3 ===
1787794138 5.25 4.28 3.73 3/4391 89567 | === RUN 3 ===
1787794143 4.99 4.24 3.72 7/4394 89577 | === RUN 3 ===
1787794148 4.67 4.18 3.70 4/4354 89587 | === RUN 3 ===
1787794153 4.45 4.15 3.69 3/4397 89597 | === RUN 3 ===
1787794158 4.18 4.09 3.68 2/4393 89607 | === RUN 3 ===
1787794163 4.00 4.06 3.67 2/4418 89617 | === RUN 3 ===
1787794168 3.92 4.04 3.67 3/4445 89627 | === RUN 3 ===
1787794173 3.77 4.01 3.66 3/4413 89637 | === RUN 3 ===
1787794178 3.79 4.01 3.66 3/4444 89647 | === RUN 3 ===
1787794183 3.64 3.97 3.65 4/4429 89657 | === RUN 3 ===
1787794188 3.67 3.97 3.65 4/4435 89667 | === RUN 3 ===
1787794193 4.90 4.22 3.73 3/4475 89677 | === RUN 3 ===
1787794198 4.75 4.20 3.73 3/4506 89688 | === RUN 3 ===
1787794203 4.61 4.18 3.73 2/4474 89698 | === RUN 3 ===
1787794208 4.32 4.13 3.71 5/4495 89708 | === RUN 3 ===
1787794213 4.05 4.08 3.70 3/4457 89718 | === RUN 3 ===
1787794218 3.89 4.04 3.69 2/4478 89728 | === RUN 3 ===
1787794223 3.74 4.01 3.68 2/4508 89738 | === RUN 3 ===
1787794228 3.52 3.96 3.66 2/4503 89748 | === RUN 3 ===
1787794233 3.39 3.93 3.65 4/4506 89758 | === RUN 3 ===
1787794238 3.20 3.88 3.64 1/4487 89768 | === RUN 3 ===
1787794243 3.19 3.86 3.64 2/4480 89778 | === RUN 3 ===
1787794248 3.01 3.81 3.62 3/4552 89788 | === RUN 3 ===
1787794253 4.13 4.03 3.69 8/4559 89798 | === RUN 3 ===
1787794258 3.88 3.98 3.68 1/4542 89808 | === RUN 3 ===
1787794263 3.73 3.95 3.67 5/4541 89818 | === RUN 3 ===
1787794268 3.51 3.90 3.65 3/4520 89828 | === RUN 3 ===
1787794273 3.39 3.87 3.65 5/4549 89838 | === RUN 3 ===
1787794278 3.36 3.85 3.64 1/4557 89848 | === RUN 3 ===
1787794283 3.41 3.86 3.64 2/4590 89858 | === RUN 3 ===
1787794288 3.30 3.82 3.63 3/4597 89868 | === RUN 3 ===
1787794293 3.11 3.78 3.62 3/4547 89878 | === RUN 3 ===
1787794298 3.02 3.75 3.61 2/4589 89888 | === RUN 3 ===
1787794303 2.86 3.70 3.60 2/4572 89898 | === RUN 3 ===
1787794308 2.71 3.66 3.58 5/4607 89908 | === RUN 3 ===
1787794313 4.26 3.96 3.68 4/4666 89918 | === RUN 3 ===
1787794318 4.08 3.93 3.67 3/4630 89928 | === RUN 3 ===
1787794323 4.07 3.93 3.67 4/4619 89938 | === RUN 3 ===
1787794328 4.06 3.93 3.68 2/4622 89948 | === RUN 3 ===
1787794333 4.06 3.93 3.68 3/4657 89958 | === RUN 3 ===
1787794338 3.81 3.88 3.66 2/4684 89968 | === RUN 3 ===
1787794343 3.67 3.85 3.65 4/4672 89978 | === RUN 3 ===
1787794348 3.53 3.82 3.65 5/4673 89988 | === RUN 3 ===
1787794353 3.41 3.79 3.64 8/4673 89998 | === RUN 3 ===
1787794358 3.30 3.76 3.63 3/4706 90008 | === RUN 3 ===
